Cycle_BatchID,T_delay_10,T_delay_9,T_delay_8,T_delay_7,T_delay_6,T_delay_5,T_delay_4,T_delay_3,T_delay_2,T_delay_1,T_production_1,T_production_2,T_production_3.1,T_production_3.2,T_production_4.2,T_production_5,T_production_6,T_production_7,T_production_9,T_production_10,T_1,T_2,T_3,T_4,T_5,T_6,T_7,T_9,T_10,T_total,M_delay_9,M_delay_8,M_delay_7,M_delay_5,M_delay_3,M_production_1,M_production_2,M_production_3.1,M_production_3.2,M_production_4.2,M_production_4.3,M_production_5,M_production_6,M_production_7,M_production_8,M_production_9,M_production_10,M_1,M_2,M_3,M_4,M_5,M_6,M_7,M_8,M_9,M_10,M_total
E_57,0.09883720930232559,0.18292682926829268,0.0,0.0,0.6290983606557378,0.8559027777777777,0.22670807453416147,0.0,0.5909090909090909,0.0,0.13179347826086957,0.422554347826087,0.7622282608695652,0.43885869565217395,0.13451086956521738,0.31929347826086957,0.5529891304347826,0.34646739130434784,0.5285326086956521,0.12907608695652173,0.09103260869565216,0.8654891304347826,0.3845108695652174,0.6589673913043478,0.8790760869565217,0.7513586956521738,0.26222826086956524,0.6182065217391304,0.7921195652173912,0.49592391304347827,0.2540760869565218,0.5013586956521738,0.1589673913043478,0.7404891304347826,0.4578804347826087,0.12364130434782608,0.6508152173913043,0.889945652173913,0.21603260869565216,0.23505434782608695,0.6834239130434783,0.5692934782608695,0.23233695652173914,0.9089673913043478,0.38179347826086957,0.3953804347826087,0.7921195652173912,0.12364130434782608,0.6508152173913043,0.28125,0.23505434782608695,0.7703804347826086,0.23233695652173914,0.577445652173913,0.3790760869565218,0.4470108695652174,0.7921195652173912,0.2296195652173913
E_58,0.0,0.8495934959349594,0.0,0.19938650306748465,0.006147540983606557,0.5815972222222222,0.0,0.6581920903954802,0.7892561983471075,0.0,0.09918478260869565,0.5394021739130435,0.5285326086956521,0.7459239130434783,0.78125,0.485054347826087,0.9850543478260869,0.5665760869565217,0.6372282608695652,0.13722826086956522,0.05570652173913043,0.9307065217391304,0.8464673913043478,0.43342391304347827,0.7051630434782609,0.5828804347826086,0.561141304347826,0.873641304347826,0.06114130434782609,0.7296195652173912,0.028532608695652176,0.5095108695652174,0.6453804347826086,0.71875,0.9823369565217391,0.19429347826086957,0.5557065217391304,0.5366847826086956,0.6807065217391304,0.6807065217391304,0.5285326086956521,0.41983695652173914,0.20516304347826086,0.702445652173913,0.033967391304347824,0.297554347826087,0.873641304347826,0.19157608695652173,0.5584239130434783,0.9850543478260869,0.6807065217391304,0.6915760869565217,0.20516304347826086,0.6915760869565217,0.04755434782608696,0.24864130434782608,0.873641304347826,0.952445652173913
E_59,0.0,0.06097560975609757,0.0,0.05214723926380368,0.6864754098360656,0.3315972222222222,0.7857142857142858,0.0,0.13636363636363635,0.0,0.09103260869565216,0.4144021739130435,0.7595108695652174,0.19701086956521738,0.43885869565217395,0.5720108695652174,0.686141304347826,0.84375,0.7323369565217391,0.8138586956521738,0.08288043478260869,0.7160326086956521,0.3002717391304348,0.90625,0.5502717391304347,0.8328804347826086,0.7269021739130435,0.6589673913043478,0.5801630434782609,0.6345108695652174,0.27309782608695654,0.6942934782608695,0.623641304347826,0.6263586956521738,0.36548913043478265,0.12907608695652173,0.36820652173913043,0.811141304347826,0.485054347826087,0.4116847826086957,0.3627717391304348,0.7051630434782609,0.24864130434782608,0.6372282608695652,0.9388586956521738,0.3410326086956522,0.623641304347826,0.12907608695652173,0.36820652173913043,0.5203804347826086,0.4116847826086957,0.7377717391304347,0.24864130434782608,0.6535326086956521,0.9225543478260869,0.33559782608695654,0.623641304347826,0.514945652173913
E_6,0.436046511627907,0.0,0.0,0.0,0.3217213114754099,0.1371527777777778,0.5372670807453417,0.48305084745762716,0.6900826446280992,0.0,0.8301630434782609,0.4986413043478261,0.5394021739130435,0.47146739130434784,0.18614130434782608,0.8301630434782609,0.9796195652173912,0.8192934782608695,0.46059782608695654,0.18614130434782608,0.5665760869565217,0.90625,0.7540760869565217,0.7948369565217391,0.39266304347826086,0.8002717391304347,0.6345108695652174,0.3845108695652174,0.8682065217391304,0.71875,0.5176630434782609,0.5203804347826086,0.35733695652173914,0.27309782608695654,0.2540760869565218,0.38179347826086957,0.6616847826086956,0.45516304347826086,0.13994565217391303,0.1453804347826087,0.6290760869565217,0.8872282608695652,0.44972826086956524,0.639945652173913,0.5040760869565217,0.4660326086956522,0.5964673913043478,0.38179347826086957,0.6616847826086956,0.17255434782608695,0.1453804347826087,0.5013586956521738,0.44972826086956524,0.45516304347826086,0.5040760869565217,0.5339673913043478,0.5964673913043478,0.16168478260869565
E_7,0.0,0.2967479674796748,0.8765060240963854,0.0,0.9241803278688525,0.0,0.12111801242236024,0.4265536723163842,0.0,0.0,0.3519021739130435,0.2105978260869565,0.9198369565217391,0.5176630434782609,0.27309782608695654,0.6480978260869565,0.7133152173913043,0.8709239130434783,0.6100543478260869,0.8355978260869565,0.2758152173913044,0.11005434782608695,0.7377717391304347,0.6127717391304347,0.18070652173913043,0.96875,0.71875,0.7133152173913043,0.6046195652173912,0.7839673913043478,0.1453804347826087,0.020380434782608696,0.25679347826086957,0.06114130434782609,0.1453804347826087,0.5747282608695652,0.17527173913043478,0.8002717391304347,0.16168478260869565,0.13994565217391303,0.8790760869565217,0.8546195652173912,0.43342391304347827,0.7785326086956521,0.96875,0.53125,0.7133152173913043,0.5747282608695652,0.17527173913043478,0.10733695652173912,0.13994565217391303,0.48233695652173914,0.43342391304347827,0.4986413043478261,0.561141304347826,0.44972826086956524,0.7133152173913043,0.06657608695652173
E_8,0.0,0.5487804878048781,0.930722891566265,0.0,0.051229508196721306,0.19618055555555555,0.0,0.17796610169491525,0.0,0.0,0.8355978260869565,0.25679347826086957,0.5855978260869565,0.41983695652173914,0.639945652173913,0.2296195652173913,0.1589673913043478,0.6752717391304347,0.5394021739130435,0.8247282608695652,0.577445652173913,0.1671195652173913,0.6100543478260869,0.36820652173913043,0.4008152173913044,0.2214673913043478,0.4877717391304348,0.7595108695652174,0.59375,0.5285326086956521,0.12364130434782608,0.8029891304347826,0.5448369565217391,0.4877717391304348,0.8790760869565217,0.5529891304347826,0.3002717391304348,0.5421195652173912,0.22690217391304346,0.7622282608695652,0.6997282608695652,0.26222826086956524,0.3491847826086957,0.7404891304347826,0.7377717391304347,0.4769021739130435,0.7404891304347826,0.5529891304347826,0.3002717391304348,0.4877717391304348,0.7622282608695652,0.297554347826087,0.3491847826086957,0.48233695652173914,0.7866847826086956,0.4144021739130435,0.7404891304347826,0.4741847826086957
E_9,0.0,0.10975609756097561,0.6114457831325301,0.08282208588957056,0.2028688524590164,0.9357638888888888,0.3136645962732919,0.692090395480226,0.11983471074380166,0.0,0.8220108695652174,0.11005434782608695,0.7269021739130435,0.2595108695652174,0.36548913043478265,0.6725543478260869,0.5801630434782609,0.44429347826086957,0.6480978260869565,0.11820652173913043,0.5584239130434783,0.7105978260869565,0.8573369565217391,0.6997282608695652,0.952445652173913,0.5230978260869565,0.43885869565217395,0.6290760869565217,0.042119565217391304,0.7377717391304347,0.2758152173913044,0.07201086956521739,0.5991847826086956,0.8953804347826086,0.1589673913043478,0.43342391304347827,0.2866847826086957,0.7241847826086956,0.37635869565217395,0.3519021739130435,0.2758152173913044,0.8410326086956521,0.06657608695652173,0.7703804347826086,0.09375,0.35733695652173914,0.7269021739130435,0.43342391304347827,0.2866847826086957,0.26766304347826086,0.3519021739130435,0.9415760869565217,0.06657608695652173,0.6426630434782609,0.012228260869565216,0.36548913043478265,0.7269021739130435,0.1589673913043478
F_1,0.0,0.20731707317073172,0.8704819277108433,0.6779141104294478,0.875,0.0,0.0,0.0,0.7066115702479339,0.0,0.06929347826086955,0.40896739130434784,0.8383152173913043,0.38179347826086957,0.59375,0.7241847826086956,0.6182065217391304,0.3899456521739131,0.8872282608695652,0.7269021739130435,0.08016304347826086,0.9089673913043478,0.4008152173913044,0.29483695652173914,0.18885869565217392,0.9307065217391304,0.6970108695652174,0.8491847826086956,0.49320652173913043,0.8057065217391304,0.28125,0.8165760869565217,0.8872282608695652,0.23233695652173914,0.46059782608695654,0.19972826086956522,0.3845108695652174,0.8328804347826086,0.2785326086956522,0.4660326086956522,0.6942934782608695,0.6752717391304347,0.38722826086956524,0.8654891304347826,0.11277173913043477,0.1046195652173913,0.6127717391304347,0.20244565217391303,0.3845108695652174,0.3519021739130435,0.4660326086956522,0.3899456521739131,0.38722826086956524,0.8953804347826086,0.16440217391304346,0.10733695652173912,0.6127717391304347,0.24864130434782608
F_10,0.0,0.0,0.0,0.6042944785276074,0.6659836065573771,0.1545138888888889,0.0,0.0,0.6735537190082644,0.0,0.6779891304347826,0.34646739130434784,0.6100543478260869,0.12635869565217392,0.5638586956521738,0.8029891304347826,0.6209239130434783,0.6807065217391304,0.7595108695652174,0.9497282608695652,0.4470108695652174,0.8926630434782609,0.17255434782608695,0.3002717391304348,0.422554347826087,0.8084239130434783,0.8165760869565217,0.5910326086956521,0.71875,0.5475543478260869,0.8709239130434783,0.65625,0.6888586956521738,0.5692934782608695,0.5692934782608695,0.3519021739130435,0.6046195652173912,0.5394021739130435,0.033967391304347824,0.485054347826087,0.7241847826086956,0.6671195652173912,0.31929347826086957,0.5747282608695652,0.6671195652173912,0.27309782608695654,0.5122282608695652,0.3519021739130435,0.6046195652173912,0.05570652173913043,0.485054347826087,0.6834239130434783,0.31929347826086957,0.7133152173913043,0.6616847826086956,0.2785326086956522,0.5122282608695652,0.03940217391304348
F_11,0.7848837209302325,0.0,0.9849397590361445,0.0,0.514344262295082,0.6475694444444444,0.0,0.0,0.731404958677686,0.0,0.8519021739130435,0.036684782608695655,0.01766304347826087,0.036684782608695655,0.03125,0.014945652173913044,0.01766304347826087,0.033967391304347824,0.009510869565217392,0.014945652173913044,0.5855978260869565,0.8980978260869565,0.006793478260869565,0.028532608695652176,0.28396739130434784,0.03125,0.025815217391304348,0.004076086956521739,0.9442934782608695,0.03940217391304348,0.47146739130434784,0.20516304347826086,0.5557065217391304,0.748641304347826,0.297554347826087,0.028532608695652176,0.025815217391304348,0.012228260869565216,0.009510869565217392,0.03125,0.3220108695652174,0.020380434782608696,0.9769021739130435,0.028532608695652176,0.11005434782608695,0.9932065217391304,0.9633152173913043,0.028532608695652176,0.025815217391304348,0.009510869565217392,0.03125,0.020380434782608696,0.9769021739130435,0.012228260869565216,0.10733695652173912,0.998641304347826,0.9633152173913043,0.08831521739130434
