Cycle_BatchID,EventFrameID_Reference,Time_out,L1_WithoutSensorNoise_PV
A_1,-10.0,0.0,0.0
A_1,-9.0,0.0,0.0
A_1,-8.0,1.0099999999999998,0.46980000000000643
A_1,-7.0,0.7070000000000007,4.8703
A_1,-6.0,0.0,0.0
A_1,-5.0,0.0,0.0
A_1,-4.0,0.0,0.0
A_1,-3.0,0.0,0.0
A_1,-2.0,0.0,0.0
A_1,-1.0,0.0,0.0
A_1,1.0,0.051,30.5991
A_1,2.0,0.051,30.5282
A_1,3.1,0.079,4.514199999999995
A_1,3.2,0.08000000000000002,4.7941
A_1,4.1,0.249,0.0
A_1,4.2,0.09099999999999997,16.053799999999995
A_1,4.3,0.08299999999999996,-0.007800000000003138
A_1,5.0,0.5730000000000001,4.028400000000005
A_1,6.0,2.9770000000000003,-29.286700000000003
A_1,7.0,6.365,24.10600000000001
A_1,8.0,1.9990000000000006,0.18500000000000227
A_1,9.0,1.3239999999999998,-18.487499999999997
A_1,10.0,0.08699999999999974,-73.08058899999999
A_10,-10.0,0.0,0.0
A_10,-9.0,0.0,0.0
A_10,-8.0,0.5879999999999939,0.2639999999999958
A_10,-7.0,0.4560000000000173,4.778999999999996
A_10,-6.0,0.0,0.0
A_10,-5.0,0.0,0.0
A_10,-4.0,0.0,0.0
A_10,-3.0,0.0,0.0
A_10,-2.0,0.0,0.0
A_10,-1.0,0.2609999999999957,0.0
A_10,1.0,0.05099999999998772,30.653
A_10,2.0,0.05000000000001137,30.159000000000002
A_10,3.1,0.07600000000002183,4.688899999999997
A_10,3.2,0.08399999999997476,0.892799999999994
A_10,4.1,0.24899999999999523,0.0
A_10,4.2,0.08600000000001273,15.378200000000007
A_10,4.3,0.08299999999999841,-0.007799999999988927
A_10,5.0,0.7199999999999989,4.760200000000012
A_10,6.0,2.879000000000019,-29.246699999999997
A_10,7.0,7.309999999999974,24.1462
A_10,8.0,1.9989999999999952,0.43370000000000175
A_10,9.0,1.613999999999976,-18.518500000000003
A_10,10.0,0.08700000000001751,-72.848185
A_11,-10.0,0.0,0.0
A_11,-9.0,0.0,0.0
A_11,-8.0,0.0,0.0
A_11,-7.0,0.5060000000000002,2.7627999999999986
A_11,-6.0,0.0,0.0
A_11,-5.0,0.0,0.0
A_11,-4.0,0.0,0.0
A_11,-3.0,0.0,0.0
A_11,-2.0,0.0,0.0
A_11,-1.0,0.8739999999999952,0.0
A_11,1.0,0.036000000000001364,21.6123
A_11,2.0,0.036000000000001364,21.530700000000003
A_11,3.1,0.04099999999999682,2.336199999999998
A_11,3.2,0.0619999999999834,1.6130999999999958
A_11,4.1,0.24899999999999523,0.0
A_11,4.2,0.060000000000002274,10.897600000000004
A_11,4.3,0.08299999999999841,-0.007799999999996032
A_11,5.0,0.3889999999999816,3.0437999999999974
A_11,6.0,2.2390000000000043,-20.5449
A_11,7.0,5.969999999999999,16.8711
A_11,8.0,1.9989999999999952,-0.6782000000000039
A_11,9.0,0.7620000000000005,-12.222900000000003
A_11,10.0,0.06099999999997863,-51.241782
A_12,-10.0,0.0,0.0
A_12,-9.0,0.0,0.0
A_12,-8.0,0.0,0.0
A_12,-7.0,0.38800000000000523,0.7918999999999983
A_12,-6.0,0.0,0.0
A_12,-5.0,0.0,0.0
A_12,-4.0,0.0,0.0
A_12,-3.0,0.0,0.0
A_12,-2.0,0.0,0.0
A_12,-1.0,0.0,0.0
A_12,1.0,0.05099999999998772,30.4194
A_12,2.0,0.05099999999998772,30.5328
A_12,3.1,0.07699999999999818,4.678600000000003
A_12,3.2,0.09100000000000819,4.270299999999992
A_12,4.1,0.24899999999999523,0.0
A_12,4.2,0.08699999999998909,15.491100000000003
A_12,4.3,0.08299999999999841,-0.007800000000003138
A_12,5.0,0.5319999999999823,3.970399999999998
A_12,6.0,2.849000000000018,-29.032600000000002
A_12,7.0,7.053000000000026,23.96750000000001
A_12,8.0,1.9989999999999952,0.3774999999999977
A_12,9.0,0.929000000000002,-14.297299999999993
A_12,10.0,0.08699999999998909,-73.163785
A_13,-10.0,0.0,0.0
A_13,-9.0,0.0,0.0
A_13,-8.0,0.4309999999999832,0.13829999999998677
A_13,-7.0,1.1640000000000157,8.239000000000004
A_13,-6.0,0.0,0.0
A_13,-5.0,0.8309999999999889,0.6157000000000039
A_13,-4.0,0.0,0.0
A_13,-3.0,0.0,0.0
A_13,-2.0,0.0,0.0
A_13,-1.0,0.0,0.0
A_13,1.0,0.0519999999999925,31.1641
A_13,2.0,0.051000000000016144,30.614099999999997
A_13,3.1,0.0589999999999975,3.481199999999994
A_13,3.2,0.08100000000001728,4.067799999999991
A_13,4.1,0.24899999999999523,0.0
A_13,4.2,0.08699999999998909,15.752400000000009
A_13,4.3,0.08299999999999841,-0.007800000000003138
A_13,5.0,0.6879999999999882,4.627800000000008
A_13,6.0,2.76400000000001,-30.0357
A_13,7.0,6.673999999999978,24.098999999999997
A_13,8.0,1.9989999999999952,-0.7945999999999884
A_13,9.0,1.789999999999992,-21.667699999999996
A_13,10.0,0.08700000000001751,-73.034094
A_14,-10.0,0.0,0.0
A_14,-9.0,0.0,0.0
A_14,-8.0,0.0,0.0
A_14,-7.0,0.5099999999999909,2.8085999999999984
A_14,-6.0,0.0,0.0
A_14,-5.0,0.0,0.0
A_14,-4.0,0.0,0.0
A_14,-3.0,0.0,0.0
A_14,-2.0,0.0,0.0
A_14,-1.0,0.18599999999997863,0.0
A_14,1.0,0.0519999999999925,31.1249
A_14,2.0,0.049000000000006594,29.3801
A_14,3.1,0.08299999999999841,4.806899999999999
A_14,3.2,0.09199999999998454,3.4924000000000035
A_14,4.1,0.24899999999999523,0.0
A_14,4.2,0.08299999999999841,15.03710000000001
A_14,4.3,0.08299999999999841,-0.007699999999999818
A_14,5.0,0.6899999999999977,4.609799999999993
A_14,6.0,2.9139999999999873,-29.121600000000008
A_14,7.0,7.115000000000009,24.318600000000004
A_14,8.0,1.9989999999999952,-0.7878000000000043
A_14,9.0,1.2390000000000043,-16.646900000000002
A_14,10.0,0.08699999999998909,-73.201924
A_15,-10.0,0.0,0.0
A_15,-9.0,0.0,0.0
A_15,-8.0,0.25200000000000955,0.5216999999999956
A_15,-7.0,0.0,0.0
A_15,-6.0,0.0,0.0
A_15,-5.0,0.40300000000002,0.0
A_15,-4.0,0.0,0.0
A_15,-3.0,0.5219999999999914,-2.0
A_15,-2.0,0.0,0.0
A_15,-1.0,0.0,0.0
A_15,1.0,0.05099999999998772,30.4607
A_15,2.0,0.05099999999998772,30.5187
A_15,3.1,0.07200000000000273,4.428999999999995
A_15,3.2,0.08199999999999363,13.051699999999997
A_15,4.1,0.24899999999999523,0.0
A_15,4.2,0.08799999999999386,15.821999999999989
A_15,4.3,0.08299999999999841,-0.007699999999999818
A_15,5.0,0.563999999999993,4.033800000000014
A_15,6.0,3.0340000000000202,-28.968300000000006
A_15,7.0,6.8799999999999955,23.9454
A_15,8.0,1.9990000000000236,0.7764999999999986
A_15,9.0,0.8959999999999866,-13.551500000000004
A_15,10.0,0.08700000000001751,-73.056848
A_16,-10.0,0.0,0.0
A_16,-9.0,0.0,0.0
A_16,-8.0,0.6229999999999905,-1.0054000000000087
A_16,-7.0,0.25900000000001455,2.1788000000000096
A_16,-6.0,0.0,0.0
A_16,-5.0,0.6459999999999582,1.0615000000000094
A_16,-4.0,0.0,0.0
A_16,-3.0,0.0,0.0
A_16,-2.0,0.0,0.0
A_16,-1.0,0.3269999999999982,0.0
A_16,1.0,0.051999999999964075,31.016
A_16,2.0,0.05000000000001137,29.973100000000002
A_16,3.1,0.07699999999999818,4.280000000000001
A_16,3.2,0.08699999999998909,8.241299999999995
A_16,4.1,0.24900000000002365,0.0
A_16,4.2,0.09000000000003183,16.259299999999996
A_16,4.3,0.08300000000002683,-0.007699999999999818
A_16,5.0,0.5310000000000059,3.6809999999999974
A_16,6.0,3.051999999999964,-30.359100000000005
A_16,7.0,6.038999999999987,24.3431
A_16,8.0,1.9989999999999668,0.18700000000001182
A_16,9.0,1.038000000000011,-15.8412
A_16,10.0,0.08700000000004593,-72.700478
A_17,-10.0,0.0,0.0
A_17,-9.0,0.0,0.0
A_17,-8.0,0.0,0.0
A_17,-7.0,0.3490000000000464,4.043700000000001
A_17,-6.0,0.0,0.0
A_17,-5.0,0.42999999999995,0.6094000000000079
A_17,-4.0,0.0,0.0
A_17,-3.0,0.0,0.0
A_17,-2.0,0.0,0.0
A_17,-1.0,0.07299999999997908,0.0
A_17,1.0,0.051999999999964075,31.0939
A_17,2.0,0.05000000000001137,30.123399999999997
A_17,3.1,0.07299999999997908,4.460299999999997
A_17,3.2,0.08400000000000318,1.1433999999999997
A_17,4.1,0.2489999999999668,0.0
A_17,4.2,0.08199999999999363,14.718199999999996
A_17,4.3,0.08300000000002683,-0.007699999999999818
A_17,5.0,0.7210000000000036,4.927299999999988
